DATE,r_Market,r_Automobile_Assembler,r_Automobile_Parts_Accessories,r_Cable_Electrical_Goods,r_Cement,r_Chemical,r_Commercial_Banks,r_Engineering,r_Fertilizer,r_Food_Personal_Care_Products,r_Glass_Ceramics,r_Insurance,r_Inv_Banks_Inv_Cos_Securities_Cos,r_Leather_Tanneries,r_Modarabas,r_Oil_Gas_Exploration_Companies,r_Oil_Gas_Marketing_Companies,r_Paper_Board_Packaging,r_Pharmaceuticals,r_Power_Generation_Distribution,r_Refinery,r_Sugar_Allied_Industries,r_Technology_Communication,r_Textile_Composite,r_Textile_Spinning,r_Transport
2020-06-22,-0.0016797502206403608,0.009246857454314035,0.005736279080727761,-0.02978074897178511,-0.002527700750251897,-0.00698110205388517,0.014790932996096883,-0.0024778218372930472,0.010338817163893526,-0.0018773520607100395,-0.012859032381466332,0.006955728236884576,-0.009949580954095066,-0.008192226554224505,0.003583871189633928,0.01526196248342454,-0.016104299340883026,-0.0030726866895376403,0.0034625510580260275,-0.0008432646339683048,-0.0017217939209249467,0.023663625244973657,-0.005983026106972484,-0.010089491524312863,-0.02741944958832684,-0.00035152966792458457
2020-06-23,0.012772296452599094,0.0025998519992961443,0.022347357278033813,0.02775773635527462,0.0118620415885866,0.013328539884895234,0.00788994052021122,0.012511891511867445,0.015905380414462007,0.011186975973251467,0.04294441440267129,0.008305846743428411,0.0051274215384773504,0.0019337421898670086,0.028998840754104575,0.014126188622753666,0.035169302767718486,-0.009319724392570838,0.000554534856977762,0.006365155993934209,0.011427439165897835,0.01452319896127106,0.01823356211114723,0.021528662361487264,0.013469528680090014,0.006040015100037784
2020-06-24,-0.0030272870126163117,-0.0016830541306009806,-0.01728343763190405,0.00047435103398785206,-0.0068602935420732924,0.00024917359265926725,-0.0021201384060998084,-0.01195451323516592,-0.004741798294257619,0.014391792509061807,0.014261204555849801,0.008576393492237698,-0.010673609965735088,0.010863531995607448,-0.005200430333220167,-0.008501197104611363,0.025096685649816774,-0.000981587906159584,-0.010536343996033246,0.0038742465692116943,-0.004058341482889721,-0.014806079316395953,-0.009736732396208625,-0.01305801099148234,-0.01682925329107445,
2020-06-25,-0.006584226736174242,0.014264494123998939,-0.011631526628881181,-0.02195628111922592,-8.322943614524249e-05,-0.012699774723428946,-0.006686812823833234,-0.002281239012730074,-0.008630992511564881,-0.013600102266298361,-0.003056340071771746,0.003908958202488586,0.006007210337624466,-0.014186300818489187,-0.054756154756154696,-0.01793660727951782,-0.023759397004232487,0.004229539347021797,0.007178951142729977,-0.016735193487396816,-0.017602169922682903,-0.013452603292723958,0.0027522919301530393,-0.0163835822423928,0.005300527023498465,0.02157471377937899
2020-06-26,0.0027242405218431054,0.013328559589859963,-0.002476138914804963,0.023910129687310117,0.023599637490871194,0.0052393526719789595,0.0028901009149029768,0.008810548195935,0.013237931249935522,-0.005115228227670758,-0.008157511867831823,-0.004722198621859852,-0.0022940846004742468,,-0.02003569343396185,0.0009395785324169681,0.0056932885519882515,-0.009329891418934338,0.008475584171825618,0.014974095702163993,-0.005231158091140692,-0.009776593682989467,-0.021191878405544394,0.009173858794056708,0.011140404746687989,-0.007115238550591337
2020-06-29,0.005990828337711014,0.022037678579204998,-0.003028512551622239,-0.0031012030853950546,0.004501636172080348,0.0010120385450835627,0.01742645492610582,0.0021701475849276617,0.00845753158997201,-0.002719331903175881,-0.005691410358605579,0.000629899391038781,0.00670150187665301,-0.01158301669661684,,0.0043278241532068995,0.03711350822615385,0.010264260752718388,0.009887397890311483,0.008033894491461671,0.028280113759635184,0.006700654669783336,0.00952575788231268,0.011624120264236688,-0.01769657844890797,
2020-06-30,0.0012230460274458431,-0.0014932720773898178,0.006892693823293193,0.0053829458367118665,0.006023172570107238,0.0062362139913903734,0.0026678307321012394,0.00025100577960929856,0.011556660662260767,0.00897474558850403,0.0007356740012981663,-0.0009264648491608056,-0.012253689719502428,-0.012924952479682802,0.003423910522580481,-0.006948339114791174,-0.0006394707487614615,-0.0015667183940984014,0.007044060878612806,0.019223961374306188,-0.008337018754061065,-0.0004285660771361103,-0.010972714838715059,0.009201275386742327,-0.005201828606115039,-0.009545502281224935
2020-07-01,0.011390359975087215,-0.0019321745614553354,0.012519510527533846,0.026961766303105116,0.041260268611285206,0.01456929587806937,-0.015442197434242202,0.023647296495353708,0.020873079476732448,0.018903968935172624,0.008132667543019426,0.0014384054208298209,0.005377039582660559,0.003689629927363436,-0.029673219900672926,0.0213823115308428,0.0005157869203832445,0.0109200920611109,0.005861157399622355,-0.003879763311267979,0.018856562435867696,0.0015725887341937472,0.03570976031579822,0.01143295006401853,0.030199626523967703,0.009293236761473866
2020-07-02,0.011959587398703625,-0.0029126430799270883,-0.003657544215085388,0.002868516741386995,-0.004126309609801537,0.005632532555699399,0.010032207435115756,0.025391479664473783,-0.0042175435126263604,0.00586364726338387,-0.0028881259866692286,0.009769044523622268,-0.003900310074065555,0.004368805174831107,0.06876680949686043,-0.0007104426849025569,0.007287570778273256,0.006158178356094446,0.002707682451809622,0.007899136731237924,0.021359975759136063,0.06981466526146841,0.03953613877851827,-0.0006898899648090748,0.010285609600176202,0.007857553738736645
2020-07-03,0.0007731060000063255,-0.003240185762320402,-0.004387635577724991,0.003844244119345993,-0.00910953610674942,-0.00625755436033542,-0.0018223138898007308,0.00038908484031177084,0.01036845483801677,0.0020939229730216123,-0.0021197214652790195,0.005728965532487747,0.00021381851688958935,0.007018152235543584,0.005881155881155786,0.0021245177456542252,-0.007772160427068797,-0.004992812110233891,0.029337658986240633,-0.006472034954799293,-0.00676396194205045,0.005137252490599679,-0.01711081653143609,-0.005296387247742635,0.013497893742695336,0.003055689065816769
